Item_ID,Master_Restaurant_Id,Date_ID,Time of Order,Order Delivered Date,Time of Delivery,Expected Delivery Time,Delivery Time (in mins),Restaurant_ID,Desc_ID,Location_ID,Avg Rating_ID,Type_ID,Category_ID,Cuisine_ID,Working Hrs,Delivery Available,Table Booking Available,Price,Discounts Offered (%),Discounted Price,Expected Revenue,Customer ID,Cust Rating_ID,Order_Status_ID,Cancellation_ID,Actual Revenue,Operating Cost,GP Margin,Total Number of Reviews,Number of Complaints Received,Foot Traffic in Location,Competitors in the Area (Count),Subscription_ID,Budgetd_Rev,Budgetd_Operating Cost,Budgeted Order,Budgeted GP,Acquisition cost,Value,year,month
3,91,1583,2:15:39,2024-05-01,2:53:39,55,38,91,999,1,5,1,999,999,11:00AM - 11:00PM,YES,YES,521.14,0.23,519.94,519.94,464,1,999,5,519.94,418.06,101.88,86,8,low,9,2,311.12,562.43,326.0,173.08,43.56,134.02,2024,5
6,70,1583,18:56:00,2024-05-01,19:41:00,38,45,22,940,1,2,1,6,7,11:00AM - 11:00PM,YES,YES,1140.69,17.59,940.04,940.04,3183,3,999,3,0.0,570.94,369.1,237,13,high,13,1,988.47,556.91,195.0,431.56,21.27,404.31,2024,5
7,20,1583,18:16:00,2024-05-01,20:45:00,45,43,41,984,11,5,2,3,7,11:00AM - 11:00PM,No,No,567.5,10.9,505.64,505.64,3536,5,999,5,505.64,373.09,132.55,383,2,medium,12,1,592.58,389.94,261.0,159.84,26.97,638.19,2024,5
5,45,1583,11:29:17,2024-05-01,0:33:00,30,33,81,967,1,6,1,121,102,10:00AM - 10:00PM,YES,NO,376.0,7.91,346.26,346.26,3275,6,555,5,346.26,269.44,76.82,164,4,low,8,3,373.3,255.98,0.0,117.32,15.86,60.96,2024,5
3,89,1583,15:00:55,2024-05-01,15:43:55,22,43,89,999,6,5,1,999,999,11:00AM - 11:00PM,NO,NO,894.07,13.55,772.92,772.92,463,5,999,5,772.92,399.63,373.29,241,4,low,7,3,767.69,380.07,309.0,152.62,35.04,197.39,2024,5
3,89,1583,0:12:28,2024-05-01,0:40:28,51,28,89,999,6,4,1,999,999,11:00AM - 11:00PM,NO,YES,194.89,22.33,151.37,151.37,1468,4,998,5,151.37,77.75,73.62,150,15,medium,16,3,276.01,190.76,611.0,178.55,22.42,180.79,2024,5
3,90,1583,21:01:16,2024-05-01,21:47:16,33,46,90,999,11,1,1,999,999,11:00AM - 11:00PM,NO,NO,515.45,23.31,395.3,395.3,1748,1,998,2,0.0,263.04,132.26,31,45,medium,20,1,588.2,382.34,526.0,234.63,7.06,269.77,2024,5
3,89,1583,21:35:43,2024-05-01,22:14:43,46,39,89,999,6,7,1,999,999,11:00AM - 11:00PM,NO,NO,219.5,24.63,165.44,165.44,874,3,999,5,165.44,100.43,65.01,179,3,high,25,3,730.52,470.5,540.0,74.58,24.34,169.15,2024,5
3,89,1583,13:27:23,2024-05-01,14:26:23,30,59,89,999,6,2,1,999,999,11:00AM - 11:00PM,NO,NO,396.59,25.83,294.15,294.15,116,3,998,2,0.0,174.15,120.0,206,42,high,22,2,680.96,402.56,400.0,233.92,9.59,197.74,2024,5
5,42,1583,18:24:52,2024-05-01,0:53:00,48,53,19,960,8,1,1,198,117,10:00AM - 10:00PM,YES,NO,1231.0,29.32,870.07,870.07,3808,1,432,1,0.0,589.42,280.65,117,2,high,11,2,896.71,617.2,0.0,279.51,24.27,256.38,2024,5
